id,web_name,team,element_type,now_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,selected_by_percent,form,points_per_game,value_season,transfers_in,transfers_out,position
51,Olsen,2,1,4.5,180,0,0,1,4,0,0,0,0,0,5,0,21,37.0,0.0,0.0,3.7,8,0.1,1.4,2.7,1.8,11787,15984,GKP
52,Pau,2,2,4.2,1549,0,0,2,29,0,0,0,1,0,0,0,162,261.2,55.5,94.0,41.2,32,0.7,0.0,1.8,7.6,234079,323240,DEF
53,Ramsey,2,3,5.4,1245,1,3,2,23,0,0,0,1,0,0,3,208,190.8,208.4,187.0,58.6,52,0.4,2.2,2.5,9.6,102641,106005,MID
54,Rogers,2,3,5.5,2337,7,5,5,36,0,0,0,8,0,0,11,367,502.0,525.3,531.0,155.9,113,16.2,3.2,4.0,20.5,5511333,4672936,MID
55,Sinisalo,2,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,84,GKP
56,Sousa,2,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,19035,DEF
57,Tielemans,2,3,5.5,2491,2,4,4,40,0,0,1,4,0,0,9,540,629.6,813.9,220.0,166.4,85,1.2,3.8,2.9,15.5,329649,314877,MID
58,Watkins,2,4,8.9,2052,13,6,7,35,0,0,0,0,0,0,24,497,616.0,288.6,958.0,184.6,147,18.1,6.2,5.1,16.5,4398643,6050188,FWD
167,Disasi,2,2,4.2,723,1,0,3,10,0,0,0,2,0,0,0,120,154.0,64.2,50.0,26.9,30,0.5,1.6,3.0,7.1,102070,105059,DEF
233,Onana,2,3,4.8,1078,2,0,2,21,0,0,0,4,0,0,5,199,229.2,107.2,180.0,51.8,41,2.1,0.0,2.4,8.5,1442221,1477902,MID
385,Rashford,2,3,6.7,1175,4,4,5,14,0,0,0,2,0,0,8,263,314.2,360.2,254.0,93.0,74,4.8,4.0,3.7,11.0,1251172,1247659,MID
598,Bogarde,2,2,4.0,473,0,0,0,11,0,0,0,2,0,0,0,22,84.8,33.3,15.0,13.3,6,0.3,0.4,0.8,1.5,63029,54615,DEF
640,Swinkels,2,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,8500,7994,DEF
641,Zych,2,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,83434,49921,GKP
656,Young,2,3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0.0,59513,49314,MID
679,Broggio,2,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2015,1476,MID
710,Jimoh,2,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,453,262,MID
725,Malen,2,3,5.4,168,0,0,0,3,0,0,0,0,0,0,0,21,24.2,16.2,77.0,11.7,7,0.1,1.0,1.2,1.3,27653,20769,MID
731,A. Garcia,2,2,4.5,266,0,0,0,5,0,0,0,0,0,0,0,17,31.2,50.4,7.0,8.8,6,0.1,1.0,1.2,1.3,11965,6702,DEF
737,Emery,2,5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,36,1.5,6.4,0.0,45.0,239359,197669,
762,M.Asensio,2,3,6.1,205,2,0,0,5,0,0,0,0,0,0,3,62,85.6,57.9,85.0,22.9,19,2.1,3.8,4.8,3.1,357884,125952,MID
59,Aarons,3,2,4.3,84,0,0,1,0,0,0,0,0,0,0,0,31,13.2,3.2,0.0,1.7,8,0.1,0.0,2.7,1.9,12506,28501,DEF
60,Adams,3,3,4.9,1239,0,3,3,21,0,0,0,4,0,0,1,210,296.8,154.8,49.0,50.2,41,0.1,1.8,2.2,8.4,15251,9434,MID
61,Anthony,3,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,8381,46314,MID
